Label;MovelPackage;PrecoTargetOfertaProposta >=;PrecoTargetOfertaProposta <=;MovelPontos_PrecoDadosDep;DadosMovel;FamiliaTVMovel;IsTerminalFicticio;UF;RegiaoMovel;REGIAO;.VelocidadeVeloxTela;.PlanoTVComDVR;TV;OfertaComDescontoDACC;FranquiaVCLD;WorkGroup;Return;TopOfertaFicticio;EmpacotaDados;ClassificacaoPreco;.NivelPreco;PrecoMovelTotalComFidel;PrecoMovelVozComFidel;PrecoMovelDadosTitularComFidel;PrecoPlanoFixoFidel;PrecoPlanoTVFidel;.PrecoFixoLDComFidel;.PrecoFixoVCComFidel;PrecoPlanoVeloxSemSVAFidel;PrecoPlanoVeloxComSVAFidel;PrecoSVAVeloxFidel;PrecoDescontoDACC;.TipoPlanoMovel;CodigoCampanhaVozSemSVASemLDSemVCFidel;.CodigoCampanhaVozSemSVASemLDComVCFidel;.CodigoCampanhaVozSemSVAComLDSemVCFidel;.CodigoCampanhaVozSemSVAComLDComVCFidel;.CodigoCampanhaVozComSVASemLDSemVCFidel;.CodigoCampanhaVozComSVASemLDComVCFidel;.CodigoCampanhaVozComSVAComLDSemVCFidel;.CodigoCampanhaVozComSVAComLDComVCFidel;.CodigoOfertaVozSemSVASemLDSemVCFidel;.CodigoOfertaVozSemSVASemLDComVCFidel;.CodigoOfertaVozSemSVAComLDSemVCFidel;.CodigoOfertaVozSemSVAComLDComVCFidel;.CodigoOfertaVozComSVASemLDSemVCFidel;.CodigoOfertaVozComSVASemLDComVCFidel;.CodigoOfertaVozComSVAComLDSemVCFidel;.CodigoOfertaVozComSVAComLDComVCFidel;PermiteAddOnSMS;FranquiaSMS;.MinLDofertaOn;.MinVCoferta;.MinLDOfertaFixo;.ValorMultaFidel;ElegivelResgatePontosDadosMovel;Pontos;ConteudosOnlineFidel;AplicativosTitularFidel;AplicativosDependenteFidel;IsencoesTrafegoTitularFidel;IsencoesTrafegoDependenteFidel
Property;.MovelPackage;.PrecoTargetOfertaProposta;.PrecoTargetOfertaProposta;.MovelPontos_PrecoDadosDep;.DadosMovel;.AddOnPlanoTVMovelCliente;TmpDadosCliente.IsTerminalFicticio || @when(IsDivergenciaOCTCobrancaMovelCAR);TmpDadosCliente.NOME_CURTO_TERRITORIO_INST_MACRO;.RegiaoMovel;pyWorkPage.Customer.REGIAO;.VelocidadeVeloxTela;.PlanoTVComDVR;.PlanoTVClienteMovel;.OfertaComDescontoDACC;.FranquiaVCLD;OperatorID.pyWorkGroup;;.TopOfertaFicticio;.EmpacotaDados;.ClassificacaoPreco;.NivelPreco;.PrecoMovelTotalComFidel;.PrecoMovelVozComFidel;.PrecoMovelDadosTitularComFidel;.PrecoPlanoFixoFidel;.PrecoPlanoTVFidel;.PrecoFixoLDComFidel;.PrecoFixoVCComFidel;.PrecoPlanoVeloxSemSVAFidel;.PrecoPlanoVeloxComSVAFidel;.PrecoSVAVeloxFidel;.PrecoDescontoDACC;.TipoPlanoMovel;.CodigoCampanhaVozSemSVASemLDSemVCFidel;.CodigoCampanhaVozSemSVASemLDComVCFidel;.CodigoCampanhaVozSemSVAComLDSemVCFidel;.CodigoCampanhaVozSemSVAComLDComVCFidel;.CodigoCampanhaVozComSVASemLDSemVCFidel;.CodigoCampanhaVozComSVASemLDComVCFidel;.CodigoCampanhaVozComSVAComLDSemVCFidel;.CodigoCampanhaVozComSVAComLDComVCFidel;.CodigoOfertaVozSemSVASemLDSemVCFidel;.CodigoOfertaVozSemSVASemLDComVCFidel;.CodigoOfertaVozSemSVAComLDSemVCFidel;.CodigoOfertaVozSemSVAComLDComVCFidel;.CodigoOfertaVozComSVASemLDSemVCFidel;.CodigoOfertaVozComSVASemLDComVCFidel;.CodigoOfertaVozComSVAComLDSemVCFidel;.CodigoOfertaVozComSVAComLDComVCFidel;.PermiteAddOnSMS;.FranquiaSMS;.MinLDofertaOn;.MinVCoferta;.MinLDOfertaFixo;.ValorMultaFidel;.ElegivelResgatePontosDadosMovel;.Pontos;.ConteudosOnlineFidel;.AplicativosTitularFidel;.AplicativosDependenteFidel;.IsencoesTrafegoTitularFidel;
if;Oi Total Conectado Digital;311.9;9999;29.9;10000;;False;;G1;;BLM 10gb;False;"""""";;;CobrancaMovel;;False;False;Retencao;"""N1""";281.9;27.4;159.5;50.1;;;;44.9;27.8;17.1;;"""Mais""";;;;;;;;"""OT_SET18_FID_CONEC_RET_032_DIG_10GB_BL2_DEP3""";;;;;;;;"""OT_SET18_FID_CONEC_RET_032_DIG_10GB_BL2_DEP3""";False;99999;99999;99999;99999;799;False;0;"Coleção Oi, WatchESPN, Noggin, Discovery Kids ON e Crackle
";CLIC News;Oi Revistas, Te Ligou Pro e Oi Audio Livros;;
else if;Oi Total Conectado Digital;306.9;311.9;29.9;10000;;False;;G1;;BLM 10gb;False;"""""";;;CobrancaMovel;;False;False;Retencao;"""N2""";276.9;27.4;154.5;50.1;;;;44.9;27.8;17.1;;"""Mais""";;;;;;;;"""OT_SET18_FID_CONEC_RET_033_DIG_10GB_BL2_DEP3""";;;;;;;;"""OT_SET18_FID_CONEC_RET_033_DIG_10GB_BL2_DEP3""";False;99999;99999;99999;99999;799;False;0;"Coleção Oi, WatchESPN, Noggin, Discovery Kids ON e Crackle
";CLIC News;Oi Revistas, Te Ligou Pro e Oi Audio Livros;;
else if;Oi Total Conectado Digital;301.9;306.9;29.9;10000;;False;;G1;;BLM 10gb;False;"""""";;;CobrancaMovel;;False;False;Retencao;"""N3""";271.9;27.4;149.5;50.1;;;;44.9;27.8;17.1;;"""Mais""";;;;;;;;"""OT_SET18_FID_CONEC_RET_034_DIG_10GB_BL2_DEP3""";;;;;;;;"""OT_SET18_FID_CONEC_RET_034_DIG_10GB_BL2_DEP3""";False;99999;99999;99999;99999;799;False;0;"Coleção Oi, WatchESPN, Noggin, Discovery Kids ON e Crackle
";CLIC News;Oi Revistas, Te Ligou Pro e Oi Audio Livros;;
else if;Oi Total Conectado Digital;296.9;301.9;29.9;10000;;False;;G1;;BLM 10gb;False;"""""";;;CobrancaMovel;;False;False;Retencao;"""N4""";266.9;27.4;144.5;50.1;;;;44.9;27.8;17.1;;"""Mais""";;;;;;;;"""OT_SET18_FID_CONEC_RET_035_DIG_10GB_BL2_DEP3""";;;;;;;;"""OT_SET18_FID_CONEC_RET_035_DIG_10GB_BL2_DEP3""";False;99999;99999;99999;99999;799;False;0;"Coleção Oi, WatchESPN, Noggin, Discovery Kids ON e Crackle
";CLIC News;Oi Revistas, Te Ligou Pro e Oi Audio Livros;;
else if;Oi Total Conectado Digital;291.9;296.9;29.9;10000;;False;;G1;;BLM 10gb;False;"""""";;;CobrancaMovel;;False;False;Retencao;"""N5""";261.9;27.4;139.5;50.1;;;;44.9;27.8;17.1;;"""Mais""";;;;;;;;"""OT_SET18_FID_CONEC_RET_036_DIG_10GB_BL2_DEP3""";;;;;;;;"""OT_SET18_FID_CONEC_RET_036_DIG_10GB_BL2_DEP3""";False;99999;99999;99999;99999;799;False;0;"Coleção Oi, WatchESPN, Noggin, Discovery Kids ON e Crackle
";CLIC News;Oi Revistas, Te Ligou Pro e Oi Audio Livros;;
else if;Oi Total Conectado Digital;286.9;291.9;29.9;10000;;False;;G1;;BLM 10gb;False;"""""";;;CobrancaMovel;;False;False;Retencao;"""N6""";256.9;27.4;134.5;50.1;;;;44.9;27.8;17.1;;"""Mais""";;;;;;;;"""OT_SET18_FID_CONEC_RET_037_DIG_10GB_BL2_DEP3""";;;;;;;;"""OT_SET18_FID_CONEC_RET_037_DIG_10GB_BL2_DEP3""";False;99999;99999;99999;99999;799;False;0;"Coleção Oi, WatchESPN, Noggin, Discovery Kids ON e Crackle
";CLIC News;Oi Revistas, Te Ligou Pro e Oi Audio Livros;;
else if;Oi Total Conectado Digital;281.9;286.9;29.9;10000;;False;;G1;;BLM 10gb;False;"""""";;;CobrancaMovel;;False;False;Retencao;"""N7""";251.9;27.4;129.5;50.1;;;;44.9;27.8;17.1;;"""Mais""";;;;;;;;"""OT_SET18_FID_CONEC_RET_038_DIG_10GB_BL2_DEP3""";;;;;;;;"""OT_SET18_FID_CONEC_RET_038_DIG_10GB_BL2_DEP3""";False;99999;99999;99999;99999;799;False;0;"Coleção Oi, WatchESPN, Noggin, Discovery Kids ON e Crackle
";CLIC News;Oi Revistas, Te Ligou Pro e Oi Audio Livros;;
else if;Oi Total Conectado Digital;276.9;281.9;29.9;10000;;False;;G1;;BLM 10gb;False;"""""";;;CobrancaMovel;;False;False;Retencao;"""N8""";246.9;27.4;124.5;50.1;;;;44.9;27.8;17.1;;"""Mais""";;;;;;;;"""OT_SET18_FID_CONEC_RET_039_DIG_10GB_BL2_DEP3""";;;;;;;;"""OT_SET18_FID_CONEC_RET_039_DIG_10GB_BL2_DEP3""";False;99999;99999;99999;99999;799;False;0;"Coleção Oi, WatchESPN, Noggin, Discovery Kids ON e Crackle
";CLIC News;Oi Revistas, Te Ligou Pro e Oi Audio Livros;;
else if;Oi Total Conectado Digital;271.9;276.9;29.9;10000;;False;;G1;;BLM 10gb;False;"""""";;;CobrancaMovel;;False;False;Retencao;"""N9""";241.9;27.4;119.5;50.1;;;;44.9;27.8;17.1;;"""Mais""";;;;;;;;"""OT_SET18_FID_CONEC_RET_040_DIG_10GB_BL2_DEP3""";;;;;;;;"""OT_SET18_FID_CONEC_RET_040_DIG_10GB_BL2_DEP3""";False;99999;99999;99999;99999;799;False;0;"Coleção Oi, WatchESPN, Noggin, Discovery Kids ON e Crackle
";CLIC News;Oi Revistas, Te Ligou Pro e Oi Audio Livros;;
