CodigoOferta;ConteudosOnLineFidel;AplicativosTitularFidel;AplicativosDependenteFidel;IsencoesTrafegoTitularFidel;IsencoesTrafegoDependenteFidel
"OT_SET18_FID_CONEC_RET_032_DIG_10GB_BL2_DEP0";"ConteudosOnLineFidel0";"AplicativosTitularFidel0";"AplicativosDependenteFidel0";"IsencoesTrafegoTitularFidel0";"IsencoesTrafegoDependenteFidel0"
"OT_SET18_FID_CONEC_RET_032_DIG_10GB_BL2_DEP1";"ConteudosOnLineFidel1";"AplicativosTitularFidel1";"AplicativosDependenteFidel1";"IsencoesTrafegoTitularFidel1";"IsencoesTrafegoDependenteFidel1"
"OT_SET18_FID_CONEC_RET_032_DIG_10GB_BL2_DEP2";"ConteudosOnLineFidel2";"AplicativosTitularFidel2";"AplicativosDependenteFidel2";"IsencoesTrafegoTitularFidel2";"IsencoesTrafegoDependenteFidel2"
"OT_SET18_FID_CONEC_RET_032_DIG_10GB_BL2_DEP3";"ConteudosOnLineFidel3";"AplicativosTitularFidel3";"AplicativosDependenteFidel3";"IsencoesTrafegoTitularFidel3";"IsencoesTrafegoDependenteFidel3"
"OT_SET18_FID_CONEC_RET_032_DIG_10GB_BL2_DEP4";"ConteudosOnLineFidel4";"AplicativosTitularFidel4";"AplicativosDependenteFidel4";"IsencoesTrafegoTitularFidel4";"IsencoesTrafegoDependenteFidel4"
"OT_SET18_FID_CONEC_RET_032_DIG_10GB_BL2_DEP5";"ConteudosOnLineFidel5";"AplicativosTitularFidel5";"AplicativosDependenteFidel5";"IsencoesTrafegoTitularFidel5";"IsencoesTrafegoDependenteFidel5"
"OT_SET18_FID_CONEC_RET_032_DIG_10GB_BL2_DEP6";"ConteudosOnLineFidel6";"AplicativosTitularFidel6";"AplicativosDependenteFidel6";"IsencoesTrafegoTitularFidel6";"IsencoesTrafegoDependenteFidel6"
"OT_SET18_FID_CONEC_RET_032_DIG_10GB_BL2_DEP7";"ConteudosOnLineFidel7";"AplicativosTitularFidel7";"AplicativosDependenteFidel7";"IsencoesTrafegoTitularFidel7";"IsencoesTrafegoDependenteFidel7"
"OT_SET18_FID_CONEC_RET_032_DIG_10GB_BL2_DEP8";"ConteudosOnLineFidel8";"AplicativosTitularFidel8";"AplicativosDependenteFidel8";"IsencoesTrafegoTitularFidel8";"IsencoesTrafegoDependenteFidel8"
"OT_SET18_FID_CONEC_RET_032_DIG_10GB_BL2_DEP9";"ConteudosOnLineFidel9";"AplicativosTitularFidel9";"AplicativosDependenteFidel9";"IsencoesTrafegoTitularFidel9";"IsencoesTrafegoDependenteFidel9"
"OT_SET18_FID_CONEC_RET_032_DIG_10GB_BL2_DEP10";"ConteudosOnLineFidel10";"AplicativosTitularFidel10";"AplicativosDependenteFidel10";"IsencoesTrafegoTitularFidel10";"IsencoesTrafegoDependenteFidel10"
"OT_SET18_FID_CONEC_RET_032_DIG_10GB_BL2_DEP11";"ConteudosOnLineFidel11";"AplicativosTitularFidel11";"AplicativosDependenteFidel11";"IsencoesTrafegoTitularFidel11";"IsencoesTrafegoDependenteFidel11"
